old_package_id,old_package_name,old_package_type,old_price,customer_references,new_package_id,new_package_name,new_package_type,new_price,match_score,confidence
272,K Telugu Tamil Prime SD +  ADITHTYA TV + SUN LIFE + SUN MUSIC + SUN NEWS,MSO_PACKAGE,430.00,1,574,K Telugu Tamil Prime SD,ADDON,360.00,0.455,REVIEW
273,K TAMIL ONE + UDAYA MOVIES + Zee Kannada,MSO_PACKAGE,350.00,1,822,UDAYA MOVIES,ALACARTE,25.00,0.333,REVIEW
274,K Telugu Tamil Prime SD + MAA MUSIC = 10,MSO_PACKAGE,400.00,1,574,K Telugu Tamil Prime SD,ADDON,360.00,0.639,REVIEW
275,K TAMIL ONE + STAR VIJAY HD,MSO_PACKAGE,330.00,1,795,STAR VIJAY HD,ALACARTE,30.00,0.520,REVIEW
276,BASIC TIER + SUN TV + ZEE TAMIL,MSO_PACKAGE,220.00,1,526,SUN TAMIL BASIC,BROADCAST,70.20,0.500,REVIEW
277,K TAMIL ONE + SUN TV + Colors TAMIL +  Hindi Prime SD,MSO_PACKAGE,340.00,1,570,K Hindi Tamil Prime SD,ADDON,460.00,0.556,REVIEW
278,K TAMIL ONE + GEMINI MOVIES,MSO_PACKAGE,320.00,1,655,GEMINI MOVIES,ALACARTE,25.00,0.520,REVIEW
279,K Malayalam Tamil Prime SD +  FLOWERS TV + Sports18 1,MSO_PACKAGE,420.00,1,572,K Malayalam Tamil Prime SD,ADDON,360.00,0.556,REVIEW
280,SONY SPORTS TEN 1,MSO_PACKAGE,25.00,1,735,SONY SPORTS TEN 1,ALACARTE,25.00,1.000,EXACT
281,MEGA HD PACKAGE,MSO_PACKAGE,390.00,2,579,VK MEGA HD PACK,ADDON,400.00,0.400,REVIEW
282,VK MEGA HD PACK + Star English Special Pack HD,MSO_PACKAGE,420.00,1,579,VK MEGA HD PACK,ADDON,400.00,0.571,REVIEW
283,BASIC TIER SUN TV 19.00		STAR VIJAY 19.00		ZEE TAMIL,MSO_PACKAGE,250.00,1,526,SUN TAMIL BASIC,BROADCAST,70.20,0.300,REVIEW
284,K Telugu Tamil Prime SD + POWER,MSO_PACKAGE,280.00,1,574,K Telugu Tamil Prime SD,ADDON,360.00,0.833,HIGH
285,STAR SPORTS SELECT HD1,MSO_PACKAGE,0.00,1,788,STAR SPORTS SELECT HD1,ALACARTE,25.00,1.000,EXACT
286,K Hindi Tamil Prime SD + ETV BAL BHARAT,MSO_PACKAGE,395.00,1,570,K Hindi Tamil Prime SD,ADDON,460.00,0.625,REVIEW
287,Nick,MSO_PACKAGE,5.00,1,708,Nick,ALACARTE,12.00,1.000,EXACT
288,BASIC + SUN TV + ZEE TAMIL,MSO_PACKAGE,220.00,1,526,SUN TAMIL BASIC,BROADCAST,70.20,0.600,REVIEW
289,K TAMIL ONE + &Flix,MSO_PACKAGE,320.00,1,569,K Hindi Tamil Prime HD,ADDON,460.00,0.286,REVIEW
290,BBC WORLD NEWS + CNN,MSO_PACKAGE,5.00,1,598,BBC WORLD NEWS,ALACARTE,4.00,0.778,REVIEW
291,STAR VIJAY,MSO_PACKAGE,10.00,1,794,STAR VIJAY,ALACARTE,25.00,1.000,EXACT
292,DISNEYPACK,MSO_PACKAGE,20.00,2,632,DISNEY,ALACARTE,17.00,0.600,REVIEW
293,K TAMIL ONE + STAR PLUS,MSO_PACKAGE,325.00,1,763,STAR PLUS,ALACARTE,25.00,0.429,REVIEW
294,BASIC TIER,MSO_PACKAGE,170.00,1,522,Sun Kannada Basic,BROADCAST,53.30,0.250,REVIEW
295,Zee Cinema,MSO_PACKAGE,0.00,1,843,Zee Cinema,ALACARTE,25.00,1.000,EXACT
296,ETV Abhiruchi  STAR SPORTS 1 STAR SPORTS 2,MSO_PACKAGE,55.00,1,767,STAR SPORTS 1,ALACARTE,25.00,0.500,REVIEW
297,+ STAR SPORTS SELECT HD1 + STAR SPORTS SELECT HD2,MSO_PACKAGE,40.00,1,788,STAR SPORTS SELECT HD1,ALACARTE,25.00,0.800,REVIEW
